,display_size,disk_space,discount_price,old_price,ratings_5max,graphics_card_score,processor_score,brand_Acer,brand_Apple,brand_Asus,brand_Dell,brand_HP,brand_Huawei,brand_Lenovo,brand_MSI,brand_Microsoft,disk_type_Flash,disk_type_HDD,disk_type_SSD,disk_type_eMMC
80,15.6,1024.0,1629.0,1799.0,0.0,1050,3814,0,0,0,0,1,0,0,0,0,0,1,0,0
81,15.6,500.0,1219.0,1369.0,3.7,96,674,1,0,0,0,0,0,0,0,0,0,1,0,0
82,15.6,1024.0,1799.0,1949.0,0.0,1050,5977,0,0,1,0,0,0,0,0,0,0,1,0,0
83,15.6,1024.0,1099.0,1249.0,0.0,333,1436,0,0,1,0,0,0,0,0,0,0,1,0,0
84,15.6,1024.0,1599.0,1749.0,3.7,921,2591,1,0,0,0,0,0,0,0,0,0,1,0,0
85,15.6,500.0,1299.0,1399.0,0.0,333,1436,0,0,0,1,0,0,0,0,0,0,1,0,0
86,15.6,500.0,1299.0,1399.0,0.0,96,1436,0,0,0,1,0,0,0,0,0,0,1,0,0
87,15.6,256.0,3999.0,4099.0,3.7,1931,6388,0,0,0,1,0,0,0,0,0,0,1,0,0
88,14.0,64.0,1279.0,1349.0,0.0,153,1436,1,0,0,0,0,0,0,0,0,0,0,0,1
89,15.6,1024.0,1679.0,1749.0,0.0,921,2591,1,0,0,0,0,0,0,0,0,0,1,0,0
90,15.6,1024.0,1999.0,1999.0,0.0,1050,6131,1,0,0,0,0,0,0,0,0,0,1,0,0
91,15.6,1024.0,1999.0,1999.0,0.0,1050,6131,1,0,0,0,0,0,0,0,0,0,1,0,0
92,15.6,1024.0,3099.0,3099.0,0.0,2559,6388,1,0,0,0,0,0,0,0,0,0,1,0,0
93,15.6,512.0,4549.0,4549.0,0.0,5225,6388,0,0,0,0,1,0,0,0,0,0,0,1,0
94,13.9,1024.0,6999.0,6999.0,0.0,2359,6388,0,0,1,0,0,0,0,0,0,0,0,1,0
95,15.6,1024.0,2799.0,2799.0,0.0,1931,6131,0,0,0,0,1,0,0,0,0,0,1,0,0
96,13.3,128.0,5649.0,5649.0,0.0,1748,3819,0,1,0,0,0,0,0,0,0,0,0,1,0
97,13.3,128.0,5649.0,5649.0,0.0,1748,3819,0,1,0,0,0,0,0,0,0,0,0,1,0
98,13.3,256.0,6499.0,6499.0,0.0,1748,3819,0,1,0,0,0,0,0,0,0,0,0,1,0
99,13.3,128.0,4799.0,4799.0,3.9,869,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
100,13.3,128.0,4799.0,4799.0,3.9,869,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
101,13.3,128.0,4799.0,4799.0,0.0,869,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
102,13.3,256.0,5649.0,5649.0,0.0,869,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
103,13.3,256.0,5649.0,5649.0,0.0,869,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
104,13.3,256.0,5649.0,5649.0,0.0,869,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
105,13.3,256.0,6499.0,6499.0,0.0,1748,3819,0,1,0,0,0,0,0,0,0,0,0,1,0
106,14.0,32.0,1049.0,1049.0,0.0,332,674,0,0,0,0,1,0,0,0,0,0,0,0,1
107,13.3,128.0,5669.0,5669.0,4.9,1309,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
108,14.0,64.0,999.0,999.0,0.0,344,1158,1,0,0,0,0,0,0,0,0,0,0,0,1
109,13.5,256.0,5799.0,5799.0,0.0,921,3398,0,0,0,0,0,0,0,0,1,0,0,1,0
110,13.3,512.0,4939.0,4939.0,0.0,2359,5955,0,0,0,0,1,0,0,0,0,0,0,1,0
111,14.0,64.0,1349.0,1349.0,0.0,153,1436,1,0,0,0,0,0,0,0,0,0,0,0,1
112,14.0,64.0,999.0,999.0,0.0,304,1158,1,0,0,0,0,0,0,0,0,0,0,0,1
113,13.3,1024.0,8099.0,8099.0,0.0,1050,5955,0,0,0,1,0,0,0,0,0,0,0,1,0
114,14.0,1024.0,2949.0,2949.0,0.0,932,5977,0,0,0,1,0,0,0,0,0,0,1,0,0
115,13.3,512.0,6299.0,6299.0,0.0,1050,5977,0,0,0,0,1,0,0,0,0,1,0,0,0
116,13.3,1024.0,8099.0,8099.0,4.4,1050,6388,0,0,0,1,0,0,0,0,0,0,0,1,0
117,13.3,512.0,4939.0,4939.0,4.0,2359,5955,0,0,0,0,1,0,0,0,0,0,0,1,0
118,13.3,256.0,6499.0,6499.0,4.6,1309,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
119,15.6,500.0,1359.0,1359.0,3.9,153,1436,0,0,0,0,0,0,1,0,0,0,1,0,0
120,13.3,1024.0,6299.0,6299.0,0.0,2359,5955,0,0,0,0,1,0,0,0,0,0,0,1,0
